v 1 96
v 2 74
v 3 27
v 4 30
v 5 54
v 6 70
v 7 46
v 8 19
v 9 28
v 10 55
v 11 51
v 12 57
v 13 10
v 14 57
v 15 65
v 16 78
v 17 40
v 18 10
v 19 72
v 20 2
v 21 79
v 22 7
v 23 13
v 24 71
v 25 69
v 26 58
v 27 20
v 28 88
v 29 95
v 30 93
v 31 84
v 32 74
v 33 8
v 34 92
v 35 17
v 36 49
v 37 48
v 38 96
v 39 36
v 40 12
v 41 27
v 42 97
v 43 4
v 44 35
v 45 15
v 46 66
v 47 95
v 48 32
v 49 81
v 50 45
e 1 6 28
e 2 34 58
e 3 47 87
e 3 15 3
e 4 37 20
e 4 17 11
e 5 46 39
e 5 5 86
e 6 23 89
e 6 17 12
e 7 22 8
e 8 39 95
e 8 36 59
e 9 18 12
e 9 40 94
e 10 12 11
e 11 19 24
e 12 24 96
e 12 20 82
e 13 6 42
e 14 13 98
e 14 4 75
e 15 41 88
e 15 31 31
e 16 3 92
e 17 49 43
e 18 45 3
e 18 35 11
e 19 3 13
e 20 19 41
e 20 29 7
e 21 17 98
e 22 28 86
e 23 25 75
e 24 27 18
e 24 50 78
e 25 30 46
e 25 23 23
e 26 7 38
e 27 16 87
e 28 19 9
e 29 30 49
e 30 41 65
e 30 44 21
e 31 44 64
e 31 48 67
e 32 7 92
e 33 14 33
e 34 21 50
e 35 50 2
e 36 19 83
e 36 13 4
e 37 45 96
e 37 28 14
e 38 9 74
e 39 37 33
e 40 17 71
e 40 15 70
e 41 29 63
e 41 2 79
e 42 10 85
e 43 17 65
e 44 20 6
e 45 49 17
e 45 9 85
e 46 15 80
e 47 38 23
e 47 20 27
e 48 43 82
e 48 20 61
e 49 23 59
e 50 8 74
e 50 40 81
